Corte,Sexo,RangoEdad,Asegurados,PrimaDevengada,SiniestralidadOcurrida,SiniestrosNuevos,SiniestrosTotales,FactorSin,SiniestroProm,Frecuencia
201809,Femenino,0-4,422,1479560.286,910039.95,18,24,61.50745992,50557.775,4.265402844
201809,Femenino,05-09,459,851566.1079,299027.6,12,15,35.11501893,24918.96667,2.614379085
201809,Femenino,10-14,426,565597.6,712635.1,25,28,125.9968394,28505.404,5.868544601
201809,Femenino,15-19,2678,2224750.866,1622067.74,21,22,72.91008465,77241.32095,0.784167289
201809,Femenino,20-24,4526,4536709.003,2536492.89,36,41,55.91041631,70458.13583,0.795404331
201809,Femenino,25-29,1212,5435535.48,3480950.68,55,64,64.04062107,63290.01236,4.537953795
201809,Femenino,30-34,1009,7115764.936,2638624.98,56,73,37.08139608,47118.30321,5.550049554
201809,Femenino,35-39,923,7589984.598,3329175.53,53,60,43.86274422,62814.63264,5.742145179
201809,Femenino,40-44,721,6238650.468,5822545.24,57,68,93.3302045,102149.9165,7.905686546
201809,Femenino,45-49,549,5498235.244,3051001.38,42,52,55.49055732,72642.89,7.650273224
201809,Femenino,50-54,347,4222638.751,4083595.75,41,52,96.70720114,99599.89634,11.81556196
201809,Femenino,55-59,189,3204915.79,361321.27,12,15,11.27397079,30110.10583,6.349206349
201809,Femenino,60-64,89,2098298.264,1305240.58,6,10,62.20472095,217540.0967,6.741573034
201809,Femenino,65-69,24,895685.7753,1483901.63,7,8,165.672122,211985.9471,29.16666667
201809,Femenino,70-100,10,1158913.813,359621.59,4,6,31.03091756,89905.3975,40
201809,Masculino,0-4,422,1779907.794,2204106.54,30,35,123.8326248,73470.218,7.109004739
201809,Masculino,05-09,464,941084.8399,660846.55,19,22,70.22178256,34781.39737,4.094827586
201809,Masculino,10-14,440,697224.2758,638258.84,18,18,91.54283093,35458.82444,4.090909091
201809,Masculino,15-19,1960,1748188.756,1497686.47,20,25,85.67075292,74884.3235,1.020408163
201809,Masculino,20-24,3989,3742229.627,1998145.05,30,34,53.39450673,66604.835,0.752068188
201809,Masculino,25-29,1697,4623302.193,2486295.59,46,57,53.77748384,54049.90413,2.710665881
201809,Masculino,30-34,1188,4731785.673,3566311.83,45,54,75.36925966,79251.374,3.787878788
201809,Masculino,35-39,1022,4903303.598,3643733.25,37,47,74.31180177,98479.27703,3.62035225
201809,Masculino,40-44,915,5363567.474,2066130.77,47,56,38.52157692,43960.22915,5.136612022
201809,Masculino,45-49,814,5837895.029,4497681.06,29,40,77.04285599,155092.4503,3.562653563
201809,Masculino,50-54,498,5162170.047,1835856.62,22,30,35.56366031,83448.02818,4.417670683
201809,Masculino,55-59,331,5298802.674,2347921.4,28,36,44.31041397,83854.33571,8.459214502
201809,Masculino,60-64,131,3564312.251,1653166.23,11,11,46.38107196,150287.8391,8.396946565
201809,Masculino,65-69,41,1546096.808,1891438.31,4,9,122.336344,472859.5775,9.756097561
201809,Masculino,70-100,20,1410580.229,1934558.29,7,8,137.1462786,276365.47,35
201909,Femenino,0-4,253,1724964.742,5803362.22,24,34,336.433672,241806.7592,9.486166008
201909,Femenino,05-09,299,842769.8917,124026.27,16,24,14.71650461,7751.641875,5.351170569
201909,Femenino,10-14,308,626166.5743,484102.19,13,20,77.31204601,37238.63,4.220779221
201909,Femenino,15-19,2716,6306739.042,2207924.42,69,86,35.00897064,31998.90464,2.540500736
201909,Femenino,20-24,4621,23218722.48,10956583.74,218,242,47.18857271,50259.55844,4.717593594
201909,Femenino,25-29,1065,9623392.73,1905461.26,69,96,19.80030654,27615.38058,6.478873239
201909,Femenino,30-34,840,8423203.767,2322301.54,49,74,27.57028803,47393.90898,5.833333333
201909,Femenino,35-39,792,9088531.558,2643373.33,51,78,29.08471312,51830.84961,6.439393939
201909,Femenino,40-44,623,7578759.375,2311475.26,47,72,30.49938843,49180.32468,7.544141252
201909,Femenino,45-49,433,6440511.864,3342953.17,33,60,51.90508519,101301.6112,7.621247113
201909,Femenino,50-54,279,4736159.222,2058163.2,35,62,43.45637686,58804.66286,12.54480287
201909,Femenino,55-59,141,3486110.907,673611.19,13,19,19.32271256,51816.24538,9.219858156
201909,Femenino,60-64,62,2057885.608,787503.7,12,17,38.26761298,65625.30833,19.35483871
201909,Femenino,65-69,16,845630.4521,-102170.2,2,7,-12.08213348,-51085.1,12.5
201909,Femenino,70-100,12,1298695.716,494040.42,8,9,38.04127586,61755.0525,66.66666667
201909,Masculino,0-4,275,1839199.377,2419276.46,33,47,131.539652,73311.40788,12
201909,Masculino,05-09,297,988531.4569,587709.16,16,24,59.45275246,36731.8225,5.387205387
201909,Masculino,10-14,291,704193.4787,631628.09,8,12,89.69524841,78953.51125,2.749140893
201909,Masculino,15-19,1971,4554179.629,2070799.81,47,59,45.47031472,44059.57043,2.384576357
201909,Masculino,20-24,3838,18409621.71,8829132.4,175,199,47.95933638,50452.18514,4.559666493
201909,Masculino,25-29,1721,11413565.1,4938274.8,80,101,43.26671601,61728.435,4.648460198
201909,Masculino,30-34,1281,10329202.21,3424511.24,56,83,33.15368572,61151.98643,4.371584699
201909,Masculino,35-39,1264,11287934.93,1691272.11,34,47,14.98300726,49743.29735,2.689873418
201909,Masculino,40-44,1033,10264717.65,2225061.36,39,64,21.67679069,57052.85538,3.775411423
201909,Masculino,45-49,753,9566640.513,4092256.78,40,66,42.77632022,102306.4195,5.312084993
201909,Masculino,50-54,294,4912340.963,2611957.33,22,41,53.17133623,118725.3332,7.482993197
201909,Masculino,55-59,174,4423030.825,1834162.89,20,37,41.46846275,91708.1445,11.49425287
201909,Masculino,60-64,95,3409242.217,1519219.98,9,15,44.56180826,168802.22,9.473684211
201909,Masculino,65-69,23,1215268.306,233161.16,4,6,19.18598213,58290.29,17.39130435
201909,Masculino,70-100,14,1454828.845,200580.98,3,4,13.78725619,66860.32667,21.42857143
202009,Femenino,0-4,212,1461590.597,1335397.83,9,18,91.36606605,148377.5367,4.245283019
202009,Femenino,05-09,264,746006.2563,181586.69,12,18,24.34117522,15132.22417,4.545454545
202009,Femenino,10-14,260,569127.7836,2993851.95,12,14,526.0421361,249487.6625,4.615384615
202009,Femenino,15-19,216,5480218.889,2875889.64,48,64,52.47764183,59914.3675,22.22222222
202009,Femenino,20-24,461,22431591.29,8305111.55,165,213,37.02417471,50334.00939,35.79175705
202009,Femenino,25-29,883,9082283.521,2277810.54,39,58,25.07971189,58405.39846,4.416761042
202009,Femenino,30-34,920,9816780.101,2638654.59,51,71,26.87902309,51738.32529,5.543478261
202009,Femenino,35-39,829,10222274.04,4229230.73,64,80,41.37269959,66081.73016,7.720144753
202009,Femenino,40-44,606,8052204.128,2441348.08,27,47,30.31900385,90420.29926,4.455445545
202009,Femenino,45-49,481,7349578.683,6808961.49,34,49,92.64424239,200263.5732,7.068607069
202009,Femenino,50-54,297,5165844.382,2111249.55,22,39,40.86939895,95965.88864,7.407407407
202009,Femenino,55-59,160,3477014.074,2578314.04,17,21,74.1531091,151665.5318,10.625
202009,Femenino,60-64,76,2118455.594,215256.9,3,9,10.1610296,71752.3,3.947368421
202009,Femenino,65-69,24,946672.5601,902209.94,3,5,95.3032736,300736.6467,12.5
202009,Femenino,70-100,14,1076597.782,1736822.87,8,11,161.3251392,217102.8587,57.14285714
202009,Masculino,0-4,228,1727110.701,801052.9,16,26,46.3810976,50065.80625,7.01754386
202009,Masculino,05-09,242,838268.9631,147843.36,8,15,17.63674507,18480.42,3.305785124
202009,Masculino,10-14,267,655379.0099,191482.67,4,7,29.21708921,47870.6675,1.498127341
202009,Masculino,15-19,244,3512226.337,4359669.58,44,53,124.1283779,99083.39955,18.03278689
202009,Masculino,20-24,589,17848500.31,7661431.88,121,163,42.92479338,63317.61884,20.54329372
202009,Masculino,25-29,1392,11459679.1,3799283.32,59,89,33.15348787,64394.63254,4.238505747
202009,Masculino,30-34,1440,11420206,4665859.42,53,70,40.85617561,88035.0834,3.680555556
202009,Masculino,35-39,1373,12955878.53,4383032.75,62,80,33.83045574,70694.07661,4.515659141
202009,Masculino,40-44,980,10715025.22,2208347.23,39,54,20.60981831,56624.28795,3.979591837
202009,Masculino,45-49,824,11201936.88,3146363.39,33,52,28.0876729,95344.34515,4.004854369
202009,Masculino,50-54,343,5379143.54,5691446,24,34,105.8058027,237143.5833,6.997084548
202009,Masculino,55-59,201,4512895.61,975629.67,11,17,21.6187068,88693.60636,5.472636816
202009,Masculino,60-64,106,3686351.798,956328.03,12,18,25.94239732,79694.0025,11.32075472
202009,Masculino,65-69,23,1144515.428,626527.11,3,5,54.74169197,208842.37,13.04347826
202009,Masculino,70-100,12,976023.4186,69393.99,1,2,7.109869362,69393.99,8.333333333
202109,Femenino,0-4,260,1574010.573,4282850.45,11,14,272.0979467,389350.0409,4.230769231
202109,Femenino,05-09,308,849410.5306,75528.29,9,12,8.891847615,8392.032222,2.922077922
202109,Femenino,10-14,292,648200.9152,214106.68,8,11,33.03091295,26763.335,2.739726027
202109,Femenino,15-19,3493,2203284.509,261326.08,10,22,11.86075057,26132.608,0.286286859
202109,Femenino,20-24,5290,6140831.845,2608229.35,33,66,42.47355108,79037.25303,0.623818526
202109,Femenino,25-29,1292,9622967.136,2189969.24,33,46,22.75773375,66362.70424,2.554179567
202109,Femenino,30-34,1187,11948072.43,4739360.52,68,87,39.66631895,69696.47824,5.728727885
202109,Femenino,35-39,998,11571494.67,5132305.49,52,72,44.35300396,98698.1825,5.210420842
202109,Femenino,40-44,749,8974794.061,4963549.02,48,61,55.30543639,103407.2712,6.408544726
202109,Femenino,45-49,583,7928679.98,9084673.67,42,57,114.579901,216301.754,7.204116638
202109,Femenino,50-54,379,6117790.208,4323744.62,24,40,70.674941,180156.0258,6.332453826
202109,Femenino,55-59,176,4294239.997,1190153.34,21,25,27.71511003,56673.96857,11.93181818
202109,Femenino,60-64,83,2808711.64,1824212.58,13,16,64.94837541,140324.0446,15.6626506
202109,Femenino,65-69,19,1053053.413,1001983.24,4,4,95.15027706,250495.81,21.05263158
202109,Femenino,70-100,10,1145376.301,527373.16,1,9,46.04365916,527373.16,10
202109,Masculino,0-4,271,2045161.503,3048601.68,18,25,149.0641045,169366.76,6.642066421
202109,Masculino,05-09,304,992714.8897,594478.94,16,18,59.88415669,37154.93375,5.263157895
202109,Masculino,10-14,306,809411.5662,296980.72,7,9,36.69094098,42425.81714,2.287581699
202109,Masculino,15-19,2313,1688920.18,1416130.83,13,17,83.84829824,108933.1408,0.56204064
202109,Masculino,20-24,4348,5014951.581,864137.22,19,49,17.23121761,45480.90632,0.436982521
202109,Masculino,25-29,2083,10582882.37,3240531.67,45,76,30.62050165,72011.81489,2.160345655
